t,Date,daily_new_cases,daily_dead,daily_recovered,,
-1,18-Mar,4207,475,1084,,
0,19-Mar,5322,427,415,,
1,20-Mar,5986,627,689,,
2,21-Mar,6557,793,943,,
3,22-Mar,5560,651,952,,
4,23-Mar,4789,601,408,,
5,24-Mar,5249,743,894,,
6,25-Mar,5210,683,1036,,
7,26-Mar,6153,662,999,,
8,27-Mar,5959,969,589,,
9,28-Mar,5974,889,1434,,
10,29-Mar,5217,756,646,,
11,30-Mar,4050,812,1590,,
12,31-Mar,4053,837,1109,,
13,1-Apr,4782,727,1118,,
14,2-Apr,4668,760,1431,,
15,3-Apr,4585,766,1480,,
16,4-Apr,4805,681,1238,,
17,5-Apr,4316,525,819,,
18,6-Apr,3599,636,1022,,
19,7-Apr,3039,604,1555,,
20,8-Apr,3836,542,2099,,
21,9-Apr,4204,610,1979,,
22,10-Apr,3951,570,1985,,
23,11-Apr,4694,619,2079,,
24,12-Apr,4092,431,1677,,
25,13-Apr,3153,566,1224,,
26,14-Apr,2972,602,1695,,
27,15-Apr,2667,578,962,,
28,16-Apr,3786,525,2072,,
29,17-Apr,3493,575,2563,,
30,18-Apr,3491,482,2200,,
31,19-Apr,3047,433,2128,,
32,20-Apr,2256,454,1822,,
33,21-Apr,2729,534,2723,,
34,22-Apr,3370,437,2943,,
35,23-Apr,2646,464,3033,,
36,24-Apr,3021,420,2922,,
37,25-Apr,2357,415,2622,,
38,26-Apr,2324,260,1808,,
39,27-Apr,1739,333,1696,,
40,28-Apr,2091,382,2317,,
41,29-Apr,2086,323,2311,,